Version,Configuration,Matrix,Execution_Time_ms
Sequential,N/A,D6-6,
Sequential,N/A,dictionary28,
Sequential,N/A,Ga3As3H12,
Sequential,N/A,bfly,
Sequential,N/A,pkustk14,
Sequential,N/A,roadNet-CA,
MPI,N8_n8,D6-6,0.025772
MPI,N8_n8,dictionary28,0.051131
MPI,N8_n8,Ga3As3H12,2.686122
MPI,N8_n8,bfly,0.030835
MPI,N8_n8,pkustk14,6.603362
MPI,N8_n8,roadNet-CA,0.656741
OpenMP,N1_n8,D6-6,0.021064
OpenMP,N1_n8,dictionary28,0.051722
OpenMP,N1_n8,Ga3As3H12,2.644654
OpenMP,N1_n8,bfly,0.026756
OpenMP,N1_n8,pkustk14,6.511576
OpenMP,N1_n8,roadNet-CA,0.737766
Hybrid,N8_n8,D6-6,0.030782
Hybrid,N8_n8,dictionary28,0.051135
Hybrid,N8_n8,Ga3As3H12,2.661299
Hybrid,N8_n8,bfly,0.035096
Hybrid,N8_n8,pkustk14,6.523504
Hybrid,N8_n8,roadNet-CA,0.654804
Hybrid,N4_n8,D6-6,0.023473
Hybrid,N4_n8,dictionary28,0.054843
Hybrid,N4_n8,Ga3As3H12,2.642169
Hybrid,N4_n8,bfly,0.032131
Hybrid,N4_n8,pkustk14,6.508067
Hybrid,N4_n8,roadNet-CA,0.662226
Hybrid,N2_n8,D6-6,0.074117
Hybrid,N2_n8,dictionary28,0.123270
Hybrid,N2_n8,Ga3As3H12,5.935114
Hybrid,N2_n8,bfly,0.096349
Hybrid,N2_n8,pkustk14,14.203947
Hybrid,N2_n8,roadNet-CA,2.868003
CUDA,GPU,D6-6,0.0083
CUDA,GPU,dictionary28,0.0119
MPI+CUDA_np4-G3,GPU,dictionary28,1.9872
CUDA,GPU,Ga3As3H12,1.3404
CUDA,GPU,bfly,0.0075
MPI+CUDA_np4-G3,GPU,Ga3As3H12,2.4199
CUDA,GPU,pkustk14,2.1600
MPI+CUDA_np4-G3,GPU,bfly,2.2199
CUDA,GPU,roadNet-CA,0.3040
MPI+CUDA_np4-G3,GPU,pkustk14,3.0366
MPI+CUDA_np4-G3,GPU,roadNet-CA,2.4215
MPI+CUDA_np2-G1,GPU,D6-6,0.0108
MPI+CUDA_np8-G3,GPU,D6-6,2.8451
MPI+CUDA_np2-G1,GPU,dictionary28,0.0123
MPI+CUDA_np8-G3,GPU,dictionary28,3.3459
MPI+CUDA_np2-G1,GPU,Ga3As3H12,1.4423
MPI+CUDA_np2-G1,GPU,bfly,0.0862
MPI+CUDA_np8-G3,GPU,Ga3As3H12,2.7464
MPI+CUDA_np8-G3,GPU,bfly,2.2433
MPI+CUDA_np2-G1,GPU,pkustk14,2.2889
MPI+CUDA_np2-G1,GPU,roadNet-CA,0.4062
MPI+CUDA_np8-G3,GPU,pkustk14,2.9100
MPI+CUDA_np4-G1,GPU,D6-6,0.1439
MPI+CUDA_np8-G3,GPU,roadNet-CA,2.5671
MPI+CUDA_np4-G1,GPU,dictionary28,0.2632
MPI+CUDA_np4-G1,GPU,Ga3As3H12,1.4405
MPI+CUDA_np4-G1,GPU,bfly,0.0949
MPI+CUDA_np4-G1,GPU,pkustk14,2.3454
MPI+CUDA_np4-G1,GPU,roadNet-CA,0.4348
MPI+CUDA_np8-G1,GPU,D6-6,0.2901
MPI+CUDA_np8-G1,GPU,dictionary28,0.4092
MPI+CUDA_np8-G1,GPU,Ga3As3H12,1.5113
MPI+CUDA_np8-G1,GPU,bfly,0.2692
MPI+CUDA_np8-G1,GPU,pkustk14,2.3936
MPI+CUDA_np8-G1,GPU,roadNet-CA,0.6113
MPI+CUDA_np16-G1,GPU,D6-6,0.9853
MPI+CUDA_np16-G1,GPU,dictionary28,0.7214
MPI+CUDA_np16-G1,GPU,Ga3As3H12,1.0823
MPI+CUDA_np16-G1,GPU,bfly,0.6143
MPI+CUDA_np16-G1,GPU,pkustk14,1.5699
MPI+CUDA_np16-G1,GPU,roadNet-CA,0.3404
